Company Name,Ticker,Q(1) Consensus Sales Est. (Mil.),% Change F1 Est. (4 weeks),% Change Q2 Est. (4 weeks),% Change Q1 Est. (4 weeks),% Change Q0 Est. (4 weeks),Last EPS Surprise (%),Previous EPS Surprise (%),Avg EPS Surprise (Last 4 Qtrs),Actual EPS used in Surprise ($/sh),Last Qtr EPS,Last Yr's EPS (F0) Before NRI,12 Mo Trailing EPS,% Rating Downgrades ,% Change F2 Est. (4 weeks),% Change LT Growth Est. (4 weeks),St. Dev. F1 / F1 Consensus,5 Yr Historical Sales Growth,Sales Growth F(0)/F(-1),% Ratio of Q1/prior Yr Q1 Actual Q(-3),% Ratio of Q1/Q0,This Yr`s Est.d Growth (F(1)/F(0)),Last Yrs Growth (F[0] / F [-1]),F0 Consensus Est.,Q2 Consensus Est. (next fiscal Qtr),St. Dev. Q1 / Q1 Consensus,Earnings ESP (Expected Surprise Prediction),F2 Consensus Est.,F1 Consensus Est.,% Rating Upgrades ,% Rating Hold,Beta,% Price Change (12 Weeks),% Price Change (4 Weeks),Last Close,52 Week High,52 Week Low,Price as a % of 52 Wk H-L Range,Shares Outstanding ,Avg Volume,Market Cap ,Sector,Optionable,Industry,Average Target Price,# of Brokers in Rating,Change in Avg Rec ,Rank in Industry (of ABR),% Rating Change - 4 Weeks,Industry Rank (of ABR),Current Avg Broker Rec,% Rating Strong Sell or Sell,# Rating Hold,# Rating Strong Sell or Sell,# Rating Downgrades ,# Rating Upgrades,# Rating Strong Buy or Buy,% Rating Strong Buy or Buy,Exchange,F(1) Consensus Sales Est. (Mil.),% Price Change (1 Week),Common Equity,Intangibles,Preferred Equity,Long Term Debt ,Current Assets ,Inventory ,Receivables ,Operating Margin 12 Mo,Net Margin,Inventory Turnover,Asset Utilization,5 Yr Hist. Div. Growth %,Book Value,Current Liabilities ,Relative Price Change,Q0 Consensus Est. (last completed fiscal Qtr),Q1 Consensus Est. ,Cost of Goods Sold,EBITDA ,Current Ratio,Debt/Total Capital,Debt/Equity Ratio,Quick Ratio,Cash Ratio,Turnover,Dividend ,5 Yr Div. Yield %,Current ROA (TTM),ROA (5 Yr Avg),ROI (5 Yr Avg),P/E (F1),Current ROI (TTM),Current ROE (TTM),St. Dev. Q2 / Q2 Consensus,Price/Cash Flow,P/E (F2),Price/Sales,Price/Book,P/E (Trailing 12 Months),Market Value/# Analysts,Long-Term Growth Consensus Est.,Div. Yield %,12 Mo. Net Income Current-1Q/Last-1Q %,12 Mo. Net Income Current/Last %,Net Income Growth F(0)/F(-1),Cash Flow ,Net Income ,EBIT ,Pretax Income ,% Price Change (YTD),Annual Sales,PEG Ratio,5 Yr. Hist. EPS Growth,% Change EPS (F(-1)/F(-2)),S&P 500,
ROCKWELL COLLIN,COL,1215.01794,.86,-1.7,-2.32,-.07,3.17,.85,1.5,1.29999,1.3,4.58,4.52,0,1.66,19.24,.01266,.96,8,112.95,83.41,11.49,3.85,4.51,1.19,.03,0,5.65,5.03,0,33.33,.93,12.57,11.99,83.98,84.32,70,97.63,135.1,1121397.63,11345.61,Aerospace,YES,AEROSPACE/DEFENSE EQUIPMENT,89.92,15,-.13,24,6.25,67,2,6.67,5,1,0,0,9,60,NYSE,5283.6621,1.29,1889,2551,0,1663,3204,1709,1033,12.34,.12,2.35719,.7032,6.9414,13.98,2198,3.38,1.26,1.08,3943,1166,1.46,46.819,.88,.68,.21019,4.5567,1.2,1.76,8.68,11.583,28.78899,16.7,17.57,33.3,.03,13.46,14.87,2.27,6.01,18.58,1031.41943,10.85,1.43,.49261,-4.43,-4.43038,843,604,941,882,13.61,4979,1.54,6.84,-4.43,YES,
CONOCOPHILLIPS,COP,14184.35351,-7.66,-23.86,-23.91,-12.68,10.26,.63,8.06,1.28999,1.29,5.7,6.11,0,-13.2,-13.38,.04504,-25.6,-6.06,83.39,90.5,4.01,6.15,5.66,1.24,.11,0,5.5,5.93,0,33.33,1.08,-11.04,-.17,71.32,86.76,63.46,33.73,1230.91,9214534,87788.72,Oils-Energy,YES,OIL-US INTEGRTD,88.09,15,-.2,4,16.66,134,1.67,0,5,0,0,0,10,66.67,NYSE,58149.32421,-.04,52492,0,0,21073,19023,1194,8487,13.19,.16,25.71999,.48078,6.683,45.36,15129,-8.14,1.17,1.17,31113,22926,1.15,26.00499,.35,1.18,.61748,6.8248,2.7,3.97,6.35,5.479,9.30959,12.03,10.28,13.99,.16,5.85,12.96,1.52,1.58,11.67,7315.72656,7.35,4.09,23.71509,16.06,8.63787,14929,9156,15058,14446,.95,58248,1.64,5.02,16.06,YES,
COSTCO WHOLE CP,COST,26885.85742,.42,.91,1.82,.27,3.95,-1.83,-3.51,1.58,1.58,4.65,4.66,0,1.32,5.14,.02497,10.05,7.12,112.43,68.31,11.04,3.56,4.59,1.18,.03,.93,5.71,5.16,0,40,.52,14.95,6.76,137.09,137.09,110.18,100,438.3,2454101.5,60086,Retail-Wholesale,YES,RETAIL-DISCOUNT,134.44,20,0,7,-5.8,184,1.83,0,8,0,0,0,12,60,NSDQ,120918.53906,3.08,12515,0,0,5093,17588,8456,1148,1.83,.02,11.401,3.4763,15.003,28.55,14412,4.81,1.52,1.08,98458,4339,1.22,28.92399,.41,.63,.55398,96.85299,1.33,1.16,6.35,5.9709,11.39099,26.55,12.16,17.27,.02,19.46,23.99,.53,4.8,29.42,3162.42114,11.97,1.04,-2.60956,.93,.93182,3087,2058,3310,3197,15.18,112640,2.22,14.11,.93,YES,
COVIDIEN PLC,COV,2738.66699,-.86,-2.79,-2.54,0,13.86,4,6.32,1.14999,1.15,4.15,4.15,0,-1.77,0,.02355,1.29,4.14,104.29,90.69,4.92,11.56,4.01,1.03,.04,-2.88,4.73,4.35,0,64.71,.99,6.12,-.1,92.6,94.64,63.84,93.38,451.76,6195367,41832.7,Medical,YES,MED PRODUCTS,95.62,17,0,64,-5.26,25,2.35,0,11,0,0,0,6,35.29,NYSE,11041.19335,1.08,9242,10859,0,5018,5867,1352,1819,17.01,,3.09349,.5225,14.097,22.08,2639,23.74,1.01,1.04,4150,2879,1.81,29.17799,,,,5.7968,1.27999,1.69,9.41,9.3386,13.718,21.27,12.44,19.64,.04,17.8,19.59,3.92,4.19,22.31,2988.05004,10,1.56,-15.20403,-2.24,-10.76116,2393,1700,2237,2029,35.98,10659,2.13,6.61,-2.24,YES,
CAMPBELL SOUP,CPB,2270.17602,.07,0,0,-.3,0,4.92,-3.78,.49,.49,2.56,2.53,0,.07,0,.00741,2.32,2.68,105.11,,-3.45,-3.03,2.53,.59,.06,0,2.63,2.47,0,69.23,.43,2.22,6.71,44.69,46.61,38.6,76.03,314.29,1088838.38,14045.75,Consumer Staples,YES,FOOD-MISC/DIVERSIFIED,41.71,13,0,43,0,169,3.18,23.08,9,3,0,0,1,7.69,NYSE,8275.16992,1.78,1603,3608,0,2244,2100,1016,670,9.66,.1,5.5879,.99462,4.71549,5.11,2989,-6.04,.73,.69,5370,1500,.7,58.331,,.36,.1385,11.303,1.248,3.28,9.61,11.501,24.17399,18.08,21.42,53.82,.02,12.59,17.02,1.7,8.75,17.66,1276.88684,4.26,2.79,,78.6,79.73274,1114,807,1195,1073,3.26,8268,4.25,1.43,78.6,YES,
SALESFORCE.COM,CRM,1451.88793,0,0,0,0,-400,-171.94,-202.36,-.05001,-.05,-.12,-.35,0,0,0,-.31674,33.55,33.47,1.67,,75.58,-258.06,-.19,.01,-3.94,,.08,-.05,0,11.54,1.03,17.9,10.43,63.09,66.22,49.13,81.68,619,4747225,39052.71,Computer and Technology,YES,COMP-SOFTWARE,68.85,26,.01,28,-.92,53,1.33,0,3,0,0,0,23,88.46,NYSE,5364.29687,2.22,3038.51,3500.82006,0,1301.93005,2680.25,0,1360.82995,-4.28,-.06,,.54628,,5.39,3980.17993,4.02,-.01,0,968.41998,333.04998,.66,28.2,,.67,.33149,5.47359,0,0,-2.34,.61572,.8902,,-4.64,-6.59,1.98,99.69,808.85,8.19,11.72,,3550.24633,21.94,0,,-71.63,14.15101,381.6,-232.17,-280.72001,-357.93,14.31,4071,,-37.69,-71.63,YES,
COMP SCIENCE,CSC,3243.1809,-.09,1.15,.69,-2.6,16.83,9.57,12.57,1.17999,1.18,3.91,4.28,0,-.04,0,.00546,-4.2,-13.31,118.37,98.31,15.63,34.83,3.86,1.32,.03,-3.45,5.02,4.52,0,70,1.33,1.57,3.56,59.69,65,50.32,63.83,145.06,1298034.5,8658.87,Computer and Technology,YES,COMP-SERVICES,64.8,10,0,19,0,88,2.9,10,7,1,0,0,2,20,NYSE,13012.08007,-.58,3944,2744,0,2207,5628,0,2759,4.66,.05,,1.1588,5.8088,27.87,3462,-2.8,1.01,1.16,9567,2075,1.66,35.205,,1.63,.82871,4.6914,.8,1.7,5.61,5.21059,9.1238,13.2,10.06,16.32,.03,5.35,11.9,.67,2.14,13.95,865.88702,6.5,1.54,-38.34726,-46.78,-29.86473,1624,674,1057,910,6.82,12998,2.03,-10,-46.78,YES,
CISCO SYSTEMS,CSCO,12088.47851,0,0,0,0,4.17,6.98,3.93,.5,.5,1.87,1.86,0,0,0,.01378,6.44,-3.01,99.65,,5.26,1.63,1.85,.49,.02,,2.1,1.97,0,26.09,1.27,2.93,4.42,25.26,25.98,20.24,87.46,5120.12,27137226,129334.31,Computer and Technology,YES,COMP-NETWORKS,26.8,23,-.09,7,2.77,191,1.78,4.35,6,1,0,0,16,69.57,NSDQ,49196.71875,4.9,56661,27519,0,20401,67114,1591,5157,20.81,.17,12.635,.46426,55.691,11.06,19809,2.48,.48,.48,19373,12711,3.39,26.47299,,3.31,3.0474,9.8387,.72,1.67,9.66,9.9995,13.791,12.83,13.37,17.25,.02,10.54,12.06,2.74,2.28,13.58,21555.71875,7.84,3.01,,-21.34,-21.33628,12276.35839,7853,10279,9715,12.62,47142,1.64,11.23,-21.34,YES,
CSX CORP,CSX,3189.56909,2.17,-1.25,.55,.69,8.51,1.92,3.34,.50999,.51,1.83,1.86,0,1.51,0,.00658,5.75,2.3,115.15,94.83,4.71,2.23,1.85,.45,.02,2.08,2.15,1.92,0,68.75,1.37,16.48,14.32,35.13,35.63,26.02,94.8,995.4,12255404,34968.3,Transportation,YES,TRANS-RAIL,34.9,16,-.04,7,7.07,121,2.38,0,11,0,0,0,5,31.25,NYSE,12664.88671,-.45,10504,0,0,9022,2602,252,1052,14.89,.15,17.21699,.39072,18.93099,11.15,2424,11.11,.47,.48,4311,4588,1.2,45.726,.84,.97,.53547,11.609,.58999,2.12,5.82,5.8597,9.81649,18.33,9.42,17.24,.04,12,16.36,2.8,3.14,18.89,2689.86938,10.59,1.82,-4.01692,-2,.05367,2968,1864,3484,2922,22.11,12026,1.73,13.66,-2,YES,
CINTAS CORP,CTAS,1115.66699,0,0,0,0,2.63,1.33,1,.77999,.78,2.79,2.93,0,0,.71,.01415,6.25,5.45,111.04,99.65,12.15,10.71,2.78,.76,.02,,3.45,3.13,0,75,.84,8.53,2.35,71.09,73.24,52.77,89.5,116.4,804945.25,8275.16,Industrial Products,YES,UNIFORM & RELATED,69.67,12,.08,1,-3.45,235,2.5,0,9,0,0,0,3,25,NSDQ,4466.29785,-2.2,2192.85009,1323.07995,0,1300.46997,1805.68005,251.22999,508.42001,7.85,.08,10.39999,1.0197,12.51,19.13,630.13,8.56,.76,.78,2637.41992,864.53002,3.16,36.394,.57,2.47,1.66002,8.8554,.76999,1.52,8,6.82159,8.45769,22.72,10.13,16.07,.02,16.01,20.58,1.83,3.72,24.26,919.46221,11.4,1.2,18.70391,28.54,18.70403,533.802,374.44,673.66998,607.84997,19.3,4551.81,1.99,17.19,28.54,YES,
CENTURYLINK INC,CTL,4490.99609,.17,.92,-2.08,-.16,1.61,12.5,8.45,.62999,.63,2.76,2.69,0,-.89,0,.00935,39.27,-1.53,92.32,99.65,-4.38,3.37,2.68,.64,.03,0,2.56,2.64,0,42.86,.66,-3.73,-1.84,39,41.81,28.09,79.52,570.16,3058306,22236.44,Computer and Technology,YES,WIRELESS NATIONAL,38,14,0,9,0,154,2.36,14.29,6,2,0,0,6,42.86,NYSE,18086.15234,-6,17191,28411,0,20181,3907,0,1977,8.56,-.01,,.35291,-7.56111,28.98,4409,11.43,.62,.63,7507,6063,.88,54.36199,1.22,.89,.43774,9.26609,2.16,7.18,3.02,3.5018,4.7325,14.78,4.21,9.21,.04,3.72,15.24,1.23,1.35,14.5,2021.49426,-.6,5.54,-138.31777,435.92,-130.75934,6204,-239,1522,224,22.45,18095,-24.63,-7.06,435.92,YES,
COGNIZANT TECH,CTSH,2617.17895,1.16,1.97,.88,0,1.69,6.9,3.98,.6,.6,2.05,2.34,0,.85,0,.0344,27.01,20.37,110.98,98.96,16.32,18.9,2.01,.62,.03,1.69,2.7,2.38,0,8.33,1.24,17.45,19.31,52.64,53.61,43.31,90.58,607.92,5581075,32001.12,Computer and Technology,YES,BUSINESS SOFTWARE SERVICES/BPO,57.25,12,0,4,0,41,1.33,0,1,0,0,0,11,91.67,NSDQ,10139.75976,9.71,6135.79003,575.51,0,0,6147.87988,0,1875.27001,14.42,.14,,1.1711,,11.49,1774.5,-5.13,.59,.59,5265.45996,1867.83996,4.17,0,,3.46,2.40778,4.8871,0,0,16.6,17.663,22.72299,22.13,21.81,21.06,.03,22.43,19.52,3.24,4.34,22.54,4000.13989,17.36,0,19.68308,18.4,16.86642,1425.979,1228.56994,1687.91003,1687.91003,4.26,8843.19,1.27,22.67,18.4,YES,
CITRIX SYS INC,CTXS,846.34399,.53,-2.49,-1.39,0,11.76,53.66,26.78,.56999,.57,2.33,2.57,0,-2.72,-2.89,.01399,15.68,12.85,93.1,142.11,3.92,1.3,2.18,.57,.05,-1.23,2.79,2.42,0,50,1.75,-4.53,-1.9,65.99,72.68,52.72,66.48,160.97,2917481,10622.48,Computer and Technology,YES,COMP-SOFTWARE,70.2,24,-.03,67,-6.17,53,2.21,4.17,12,1,0,0,11,45.83,NSDQ,3138.96191,3.55,3319.80004,2278.54003,0,0,1563.08996,14.1,654.82,14.79,.12,40.63899,.59034,,12.75,1464.06005,-5.06,.51,.81,502.79,655.39001,.99,38.004,.61,1.06,.61074,5.78919,0,0,8.73,9.2537,13.59899,27.25,13.56,16.74,.04,17.42,23.66,3.43,5.18,25.68,1517.4967,13.04,0,2.50108,-6.28,-3.69321,706.09698,339.51998,387.89001,387.89001,4.33,2918.43,2.09,12.81,-6.28,YES,
CABLEVISION SYS,CVC,1622.33496,.1,2.17,-.68,-.61,62.5,66.67,67.01,.25999,.26,.13,.64,0,-.19,0,.0602,-4.77,-7.06,201.39,61.97,690,-50,.36,.19,.24,6.25,.89,1.03,0,57.14,1.06,.61,5.07,18.25,19.54,14.83,72.61,288.76,2396660.75,5269.92,Consumer Discretionary,YES,CABLE TV,19.09,14,0,9,0,130,2.74,14.29,8,2,0,0,4,28.57,NYSE,6437.12792,-2.67,-5283.54004,1053.93994,0,9419.76953,1724.43005,0,284.58999,2.65,.07,,.96591,7.2744,-18.96,1441.05004,-7.38,.16,.16,3079.21997,1729.14001,1.21,,,1.2,.99916,23.07399,.6,3.04,2.57,3.1607,4.96,17.77,4.01,,.19,5.03,20.45,.82,,28.52,526.99249,2,3.29,128.66209,-42.06,99.40904,970.48797,465.66,794.05999,192.96,1.78,6232.15,8.89,-23.55,-42.06,YES,
CVS HEALTH CORP,CVS,36018.6875,.19,1.08,-.81,0,.88,2.73,.41,1.14999,1.15,4,4.42,0,.86,1.99,.00144,7.76,2.95,107.38,104.58,12.33,16.28,3.96,1.16,.01,0,5.1,4.49,0,15,.98,11.51,7.91,88.43,88.43,63.22,100,1146.38,5398592,101374.66,Retail-Wholesale,YES,RETAIL-DRUG STR,91.38,20,0,3,0,137,1.42,0,3,0,0,0,17,85,NYSE,137789.45312,3.37,37938,36071,0,12841,25325,11045,8729,3.95,.04,9.73939,1.85549,33.14599,32.61,15425,12.44,1.14,1.2,102978,9907,1.39,24.31699,.31,.93,.35987,14.932,.89999,1.35,7.17,6.4454,8.9264,19.68,10.45,13.68,.04,15.54,17.35,.75,2.69,20.01,8447.88769,13.55,1.24,16.05406,2.87,18.84057,6772,4592,8037,7528,23.56,126761,1.45,12.35,2.87,YES,
CHEVRON CORP,CVX,47671.625,-3.68,-18.91,-16.97,-4.45,16.14,11.19,5.05,2.95,2.95,11.09,10.86,0,-10.76,-.04,.02293,4.35,-5.4,85.32,74.33,-6.11,-12.05,11.15,2.11,.12,0,9.64,10.41,0,40,1.12,-6.64,3.51,118.53,134.85,109.27,36.2,1898.93,8698486,225080.42,Oils-Energy,YES,OIL-INTL INTGD,134.42,15,-.13,7,6.06,198,2.07,6.67,6,1,0,0,8,53.33,NYSE,210757.64062,1.13,150427,4639,0,20057,50250,6380,21622,9.32,.09,20.041,.85443,10.842,82.22,33018,-13.65,2.54,2.19,147759,50091,1.35,14.13799,.16,1.33,.67381,10.493,3.9,3.3,7.97,10.227,15.99199,11.38,11.85,13.51,.13,6.4,12.29,1.01,1.44,10.91,25008.93554,6.3,3.61,-16.57169,-12.8,-18.16724,35609,21423,35905,35905,-5.11,228848,1.81,10.65,-12.8,YES,
DOMINION RES VA,D,2902.97802,-.66,-.46,-2.37,-1.26,-3.12,1.64,-.56,.93,.93,3.25,3.39,0,-.09,0,.01536,-3.73,.21,114.11,98.16,7.16,6.56,3.34,1.09,.18,3.3,3.76,3.48,0,41.67,.32,7.01,3.76,73.08,74.18,63.25,89.94,583.91,3518856.75,42672.22,Utilities,YES,UTIL-ELEC PWR,75.14,12,0,38,0,215,1.88,0,5,0,0,0,7,58.33,NYSE,12919.21679,2.1,11642,3646,257,19330,5940,1176,1836,15.64,.13,6.5994,.24992,6.9408,19.89,6994,2.8,.96,.91,8033,4971,.72,63.63199,1.79,.68,.41864,6.98509,2.25,4.01,3.88,4.11499,6.4517,20.98,6.21,17.06,.11,12.97,19.46,3.37,3.68,21.56,3879.29272,5.55,3.28,192.39543,69.07,461.92053,3271,1697,3581,2704,12.97,13120,3.78,.04,69.07,YES,
DELTA AIR LINES,DAL,9506.65234,.43,2.33,-.64,-.32,1.69,.97,4.91,1.2,1.2,3.2,3.22,0,2.95,6.55,.00933,7.05,3.01,103.08,55.83,1.25,74.86,3.13,.61,.05,0,4.06,3.24,0,0,.88,11.72,27.26,42.9,42.9,26.68,100,836.94,20947426,35904.77,Transportation,YES,TRANS-AIRLINE,51.36,11,0,5,0,142,1.09,0,0,0,0,0,11,100,NYSE,40202.27343,9.61,11643,14452,0,9795,9651,1063,1609,6.89,.28,30.815,.76318,,14.69,14152,42.11,1.18,.67,29190,5037,.74,42.18,.73,.61,.49314,20.173,.11999,.19,5.26,3.30489,12.18299,13.24,12.89,22.95,.13,8.06,10.57,.9,2.92,13.32,4488.09667,13.01,.84,522.10766,376.31,944.59863,4552,10540,3225,2527,56.17,37773,1.02,47.11,376.31,YES,
DU PONT (EI) DE,DD,7885.54394,.09,-6.78,-1.17,.04,1.89,0,1.98,.54,.54,3.88,3.88,0,-1.61,1.52,.00556,4.7,2.36,120,131.11,3.43,16.52,3.84,1.72,.02,0,4.55,4.01,0,53.33,1.4,7.55,4.17,70.12,72.83,59.57,79.56,905.95,6760463,63525.01,Basic Materials,YES,CHEM-DIVERSIFD,71.64,15,-.05,24,5.55,144,2.27,6.67,8,1,0,0,6,40,NYSE,35695.35937,3.64,16049,9809,237,10741,24384,8042,6047,10.03,.13,2.946,.73572,2.86989,17.2,13367,-1.79,.53,.71,22548,5540,1.74,36.733,.59,1.22,.77018,4.59149,1.77999,3.48,7.38,7.32859,15.46899,17.47,13.82,22.24,.05,12.43,15.4,1.77,4.08,18.07,4537.50048,8.6,2.68,-33.78529,-34.5,75.97096,5235,4848,3937,3489,7.93,36144,2.03,6.63,-34.5,YES,
DEERE & CO,DE,6315.22509,-1.54,-3,-2.99,-1.1,6.39,10.42,12.08,2.32999,2.33,9.09,8.9,0,-1.36,0,.10245,12.83,4.53,53.85,,-21.86,19.13,8.36,2.06,.18,.63,5.89,6.53,0,36.84,1.32,3.39,8.16,87.77,94.53,80.01,53.44,358.42,4092404.75,31458.52,Industrial Products,YES,MACH-FARM,84.4,19,0,9,-1.53,219,3.49,47.37,7,9,0,0,3,15.79,NYSE,30530.10546,2.98,10267.70019,921.90002,0,21577.69921,45102.69921,4934.70019,5253.3999,9.08,,4.5938,.60974,17.18899,29.78,21978.5,-12.55,1.58,1.14,25667.30078,7365,2.22,68.93299,,,,6.55849,2.22,2.15,5.54,5.43819,10.328,13.43,9.98,31.59,.12,7.18,14.91,.86,2.95,9.86,1966.15771,8.6,2.73,,-2.88,15.42076,4677.2998,3537.30004,6224.70019,5483.3999,-3.9,37795,1.56,28.1,-2.88,YES,
DISCOVER FIN SV,DFS,1822.16699,.3,-.74,-1.21,.38,2.24,3.85,4.01,1.37,1.37,4.96,5.26,0,-1.28,0,.00964,4.82,4.06,106.24,95.38,7.46,10.22,4.9,1.33,.04,0,5.53,5.33,0,21.43,.97,8.02,3.43,65.69,65.69,50.92,100,453.48,3068007.5,29789.1,Finance,YES,FIN-CONS LOANS,68.92,14,0,2,0,165,1.5,0,3,0,0,0,11,78.57,NYSE,7280.42919,4.54,10249,469,560,20474,70859,148,63975,27.46,.26,4.4158,.11344,88.14199,23.61,48057,6.84,1.34,1.31,698,4533,1.51,64.924,1.95,1.47,.14016,.14123,.6,1.07,3.12,3.89939,10.147,12.32,7.86,23.47,.05,12.26,11.88,3.3,2.78,12.49,2978.9104,11,1.46,.914,4.86,,2555,2470,4392,3944,17.41,9370,1.12,86.14,4.86,YES,
DOLLAR GENERAL,DG,4946.39208,0,1.16,-.03,0,0,-1.37,.37,.82999,.83,3.2,3.28,0,.09,2.07,.00653,10.4,9.25,161.69,,9.37,9.97,3.2,.84,.01,0,4,3.5,0,44.44,.33,10.59,5.57,64.01,64.48,53.5,95.72,303.4,3578990,19420.44,Retail-Wholesale,YES,RETAIL-DISCOUNT,70.08,18,0,5,0,184,1.89,0,8,0,0,0,10,55.56,NYSE,19084.66796,2.5,5402.18994,5546.22998,0,2742.78002,3205.60009,2552.98999,0,5.67,.06,4.7616,1.68299,,16.8,1811.96997,-3.44,.8,1.16,12068.41992,2050.13989,1.59,36.118,,.36,.36016,5173.99121,0,0,9.54,8.4867,11.192,18.29,12.8,19.94,.03,14.97,16.02,1.07,3.81,19.51,1387.17456,14.68,0,,4.3,7.60502,1369.44604,1025.10998,1717.31005,1628.32995,6.12,17504.17,1.25,25.28,4.3,YES,
QUEST DIAGNOSTC,DGX,1849.09802,.6,.34,-.58,0,1.85,1.89,1.92,1.1,1.1,4,4.05,0,1.08,0,.00204,-.79,-3.2,100.83,94.42,1.56,-8.26,3.91,.98,.01,0,4.39,4.06,0,72.22,.77,1.64,7.56,62.76,64.08,50.8,90.06,144.53,2294719.5,9070.95,Medical,YES,MED-OUTP/HM CRE,63.43,18,0,20,0,103,3.07,16.67,13,3,0,0,2,11.11,NYSE,7401.09521,-1.13,3973,6545,0,3120,1383,91,852,8.09,.12,43.941,.76813,38.23099,29.15,1132,6.67,1.08,1.04,4326,1790,1.31,46.991,.89,1.14,.38869,7.8056,1.2,1.31,6.21,7.63229,9.71189,15.45,7.72,14.48,.02,10.2,14.31,1.24,2.15,15.5,697.76568,10.43,2.1,50.92271,-33.22,52.69784,895,849,1507,1348,17.22,7146,1.48,.53,-33.22,YES,
D R HORTON INC,DHI,2070.02709,-.95,-1.75,-.9,-.57,-34.69,11.76,-1.34,.31999,.32,1.33,1.46,0,-1.11,-8.53,.06907,13.65,43.66,91.67,,21.6,70.51,1.56,.38,.09,-6.12,2.21,1.9,0,26.67,1.49,9.92,11.14,22.94,25.1,18.06,69.32,364.47,6689722,8360.99,Construction,YES,BLDG-RSDNT/COMR,25.9,15,0,4,3.21,196,1.87,6.67,4,1,0,0,10,66.67,NYSE,9701.13574,.57,4061.3999,38.9,0,3509,7606.7998,6197.3999,0,6.99,,.85882,.7868,2.96199,15.28,1286,-6.47,.49,.37,4853.5,725.29998,6.45,40.941,,,,,.1375,1.02,5.5,2.00419,2.36849,12.06,6.36,11.53,.09,14.1,10.36,1.15,1.5,15.71,760.08984,12.33,1.09,,19.7,-51.61561,525.09997,462.70001,662.90002,657.79998,2.78,6085.9,.98,130.95,19.7,YES,
DANAHER CORP,DHR,5420.14208,-.46,-1.19,-2.95,1.34,0,1.06,.84,.89999,.9,3.42,3.62,0,-1.93,-1.41,.00905,13.39,4.7,106.25,113.33,7.44,7.55,3.41,.9,.02,0,4.04,3.67,0,14.29,1.17,8.52,11.67,81.26,81.26,71.7,100,702.69,3584213.25,57100.75,Conglomerates,YES,DIVERSIFIED OPS,85.38,14,-.04,11,-3.65,64,1.39,0,2,0,0,0,12,85.71,NYSE,19913.79101,1.94,22451.40039,22285.90039,0,3436.69995,9113.70019,1783.5,3451.60009,13.07,.14,,.56007,31.48299,33.88,4527.3999,-4.22,.9,1.02,9160.40039,4606.8999,2.23,11.07299,.12,1.62,.85669,5.60319,.1,.22,7.32,7.11369,9.5909,22.11,9.75,11.06,.05,17.07,20.13,2.89,2.4,22.45,5190.97753,12.6,.49,6.21282,7.49,12.6578,3319.82006,2695,3711.8999,3566,5.26,19118,1.76,15.35,7.49,YES,
DISNEY WALT,DIS,12937.19238,.09,0,.31,.93,1.14,9.4,9.81,.88999,.89,4.32,4.32,0,.27,0,.02566,5.85,8.37,104.81,122.47,8.85,27.43,4.31,1.12,.03,3.67,5.4,4.7,0,38.1,1.23,3.83,7.34,92,92,67.15,100,1716.55,8731933,157922.14,Consumer Discretionary,YES,MEDIA CONGLOMERATES,92.06,21,0,3,-5.4,34,1.86,0,8,0,0,0,13,61.9,NYSE,51416.5039,1.97,48150,34694,0,12776,14109,1487,6967,15.55,,26.044,.58047,26.30599,28.07,11704,9.58,.88,1.09,35591,12047,1.14,20.99699,,,,6.37529,.86,1.15,9.16,7.0401,9.8655,19.56,12.43,15.92,.03,19.69,17.03,3.24,3.28,21.3,9870.13378,11.55,.93,23.55496,22.25,7.99014,8347.71191,6136,9855,9620,20.42,48813,1.69,18.49,22.25,YES,
DISCOVERY COM-A,DISCA,1757.833,-2.59,-10.11,-8.71,.31,12.2,24.73,11.78,.46,.46,3.25,3.29,0,-3.2,8.32,.05579,11.61,23.36,52.31,104.62,-44.51,14.44,3.04,.4,.1,-2.08,2.17,1.8,0,60,1.18,-23.07,-8.07,32.9,90.46,32.9,0,224.16,4119158.5,7374.96,Consumer Discretionary,YES,BRDCST-RADIO/TV,39.05,15,.2,14,-10,157,2.2,0,9,0,0,0,6,40,NSDQ,6380.67578,-8.46,6195,8906,2,6482,2410,0,1371,21.44,.19,,.38738,,19.52,1294,-66.89,.41,.48,1689,3526,1.01,52.402,1.05,1.86,.80293,4.25229,0,0,8.27,7.37309,8.3027,18.24,9.93,21.37,.07,2.94,15.19,1.2,1.25,10,819.4403,21.3,0,20.10416,16.63,13.78579,2660.08007,1073,2042,1736,-63.61,5535,.86,24.73,16.63,YES,
DISCOVERY COM-C,DISCK,,-3.98,,-16.98,0,12.2,,,.46,.46,1.63,1.88,0,-5,,,11.61,23.36,95.65,95.65,4,14.44,1.54,,,0,2.09,1.69,0,75,1.13,-19.75,-5.92,32.87,43.61,32.87,0,448.33,2886554.5,14736.47,Consumer Discretionary,YES,BRDCST-RADIO/TV,43,4,0,18,0,157,2.5,0,3,0,0,0,1,25,NSDQ,6312.66992,-8.57,6195,8906,2,6482,2410,0,1371,21.44,.19,,.38738,,9.76,1294,-28.66,.41,.44,1689,3526,1.01,52.402,1.05,1.86,.80293,4.25229,0,0,8.27,7.40439,8.3373,19.45,9.93,21.37,,5.87,15.73,2.41,2.5,17.53,14736.4746,,0,20.10416,16.63,13.78579,2660.08007,1073,2042,1736,-21.61,5535,,24.61,16.63,YES,
